2026-07-20 11:20:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 11:00:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 11:25:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 11:00:00 (Monday) UTC
2026-07-20 11:25:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 11:00:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 11:30:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 11:15:00 (Monday) UTC
2026-07-20 11:30:20Z | INFO    | signal | [BTC/USDT] New bar 2026-07-20 11:15:00 (Monday) UTC processed: fast EMA still above slow EMA (fast=64295.65 slow=64277.50). No crossover.
2026-07-20 11:35:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 11:15:00 (Monday) UTC
2026-07-20 11:35:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 11:15:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 11:40:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 11:15:00 (Monday) UTC
2026-07-20 11:40:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 11:15:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 11:45:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 11:30:00 (Monday) UTC
2026-07-20 11:45:20Z | INFO    | signal | [BTC/USDT] New bar 2026-07-20 11:30:00 (Monday) UTC processed: fast EMA still above slow EMA (fast=64403.52 slow=64328.18). No crossover.
2026-07-20 11:50:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 11:30:00 (Monday) UTC
2026-07-20 11:50:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 11:30:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 11:55:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 11:30:00 (Monday) UTC
2026-07-20 11:55:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 11:30:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 12:00:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 11:45:00 (Monday) UTC
2026-07-20 12:00:20Z | INFO    | signal | [BTC/USDT] New bar 2026-07-20 11:45:00 (Monday) UTC processed: fast EMA still above slow EMA (fast=64523.21 slow=64389.43). No crossover.
